"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"867","@abpnewstv @BJP4India @Swamy39 AbuDhavi is the wonderland of underworld financers of Bollywood to which Swamiji, Bo… https://t.co/Ob3F4Oe67C",FALSE,0,"abpnewstv",2018-02-27 07:20:11,TRUE,"968368091494322176","968385255148343296","39240673","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","suksa",0,FALSE,FALSE,NA,NA
"868","RT @awi2986: this is what happen in past 70 years during @INCIndia distributed fake adhar card  for apeasment &amp; now @BJP4India  is cleaning…",FALSE,0,NA,2018-02-27 07:20:10,FALSE,NA,"968385252979769344",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","rohithiware",23,TRUE,FALSE,NA,NA
"869","RT @BJP4India: Watch how Modi government’s initiatives are fulfilling the aspirations of the poor, dalits, women and divyangs by empowering…",FALSE,0,NA,2018-02-27 07:20:02,FALSE,NA,"968385217500205058",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RanjanSri2001",212,TRUE,FALSE,NA,NA
"870","RT @BJP4India: Our party does not win due to big leaders but because of booth karyakartas : Shri @AmitShah https://t.co/RafdyVtfDg",FALSE,0,NA,2018-02-27 07:20:00,FALSE,NA,"968385208214020096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ramdayal_ojha",274,TRUE,FALSE,NA,NA
"871","RT @BJP4India: We are already the third-largest economy by purchasing power. Very soon, we will become the world's fifth-largest economy by…",FALSE,0,NA,2018-02-27 07:19:57,FALSE,NA,"968385197271068672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","perarivalan13",192,TRUE,FALSE,NA,NA
"872","@BJP4India @narendramodi Dear BJP

If u dont act against the increasing unemployment...then i fear u will lose 2019… https://t.co/NJ2ZFQtIoO",FALSE,1,"BJP4India",2018-02-27 07:19:57,TRUE,"968349692122845184","968385197136908288","207809313","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","avhhh",0,FALSE,FALSE,NA,NA
"873","RT @BJP4India: We are already the third-largest economy by purchasing power. Very soon, we will become the world's fifth-largest economy by…",FALSE,0,NA,2018-02-27 07:19:52,FALSE,NA,"968385176110813186",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LimbaBablu",192,TRUE,FALSE,NA,NA
"874","RT @BJP4India: Watch how Modi government’s initiatives are fulfilling the aspirations of the poor, dalits, women and divyangs by empowering…",FALSE,0,NA,2018-02-27 07:19:51,FALSE,NA,"968385172918947850",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cjitendrabaghel",212,TRUE,FALSE,NA,NA
"875","RT @BJP4India: We are already the third-largest economy by purchasing power. Very soon, we will become the world's fifth-largest economy by…",FALSE,0,NA,2018-02-27 07:19:48,FALSE,NA,"968385160336019456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NarendrModiBJP",192,TRUE,FALSE,NA,NA
"876","@siddarthsahu1 @KoradaRavi3 @kathimahesh @ysjagan @ncbn @INCIndia @JaiTDP @BJP4India @JanaSenaParty Again you are b… https://t.co/FCb3dIJNOT",FALSE,0,"siddarthsahu1",2018-02-27 07:19:48,TRUE,"968384254186057728","968385157957898240","2191901444","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Saichandkoduru",0,FALSE,FALSE,NA,NA
