"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"921","RT @INCIndia: There seems to be a strange pattern connecting cases involving Amit Shah and judges hearing those cases. What the country wan…",FALSE,0,NA,2018-02-27 08:08:25,FALSE,NA,"968397396374966272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aiuwcindia",358,TRUE,FALSE,NA,NA
"922","RT @Gujju_Er: 3rd self goal by @INCIndia today <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https://t.co/wbkmdN5MEW",FALSE,0,NA,2018-02-27 08:08:25,FALSE,NA,"968397396190220288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jattitude35",47,TRUE,FALSE,NA,NA
"923","RT @INCIndia: Congress President Rahul Gandhi seeks blessings at the Godchi Temple, Ramdurg, Karnataka. #JanaAashirwadaYatre #NavaKarnataka…",FALSE,0,NA,2018-02-27 08:08:24,FALSE,NA,"968397391362584576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KunwarNagendra",564,TRUE,FALSE,NA,NA
"924","@INCIndia No one knows just like Patel's murder...!!",FALSE,1,"INCIndia",2018-02-27 08:08:24,FALSE,"968395663141670912","968397388778897408","1153045459","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","abhi__voice",0,FALSE,FALSE,NA,NA
"925","RT @INCIndia: The self-proclaimed ""chowkidar"" of the nation is shockingly silently while crores of public money is looted right under his w…",FALSE,0,NA,2018-02-27 08:08:21,FALSE,NA,"968397379727536128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KunwarNagendra",832,TRUE,FALSE,NA,NA
"926","RT @KanchanGupta: What this @INCIndia tweet does not mention:
Among those against whom CBI has filed FIR is Simbhaoli Sugars Ltd Dy MD Gurp…",FALSE,0,NA,2018-02-27 08:08:21,FALSE,NA,"968397378137960448",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","rajbuzz",404,TRUE,FALSE,NA,NA
"927","RT @INCIndia: LIVE: Congress President Rahul Gandhi addresses a gathering at Ramdurg #JanaAashirwadaYatre https://t.co/RIz5P2wrUO",FALSE,0,NA,2018-02-27 08:08:20,FALSE,NA,"968397373822005248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rakeshkhola00",723,TRUE,FALSE,NA,NA
"928","RT @INCIndia: Congress President Rahul Gandhi addressed a public meeting at Nehru Stadium, Hubli, Karnataka. #JanaAashirwadaYatre #NavaKarn…",FALSE,0,NA,2018-02-27 08:08:19,FALSE,NA,"968397368726052864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aiuwcindia",404,TRUE,FALSE,NA,NA
"929","RT @INCIndia: Congress President Rahul Gandhi interacted with local farmers Bhimayya and Shakuntala at Sunnal, Karnataka. #JanaAashirwadaYa…",FALSE,0,NA,2018-02-27 08:08:19,FALSE,NA,"968397367996067840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KunwarNagendra",495,TRUE,FALSE,NA,NA
"930","RT @INCIndia: There seems to be a strange pattern connecting cases involving Amit Shah and judges hearing those cases. What the country wan…",FALSE,0,NA,2018-02-27 08:08:18,FALSE,NA,"968397366121218048",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Narayanan_P",358,TRUE,FALSE,NA,NA
